broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Progenitor cell,,FKBP1A,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
Progenitor cell,,LCN2,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
Progenitor cell,,MUC4,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
Progenitor cell,,LYZ,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
Progenitor cell,,SOX9,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
Progenitor cell,,FABP5,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
Progenitor cell,,CDK6,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
Progenitor cell,,CA7,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
Progenitor cell,,CA4,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
Progenitor cell,,PLA2G2A,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
Progenitor cell,,SPIB,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
Progenitor cell,,CLCA1,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
Progenitor cell,,ITLN1,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
Progenitor cell,,MUC2,Human,Intestine,Colon,Normal,Normal cell,Progenitor cell
