broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Endothelial cell,,PECAM1,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,PLVAP,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,PTPRB,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,KDR,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,VCAM1,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,VEGFR2,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD34,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,TEK,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,NRP1,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,FN1,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,VCAM-1,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,peroxiredoxin-6,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,MCP-1,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,sE-selectin,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,calpastatin,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,TFPI,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,FLT1,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD31,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,CLDN5,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,ACKR1,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,VWF,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,EMCN,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,PECAM-1,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,Eln,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,Cdh5,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,Nrp1,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
Endothelial cell,,CCL2,Human,Kidney,Kidney,Normal,Normal cell,Endothelial cell
