broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Endothelial cell,,Fbln2,Human,Kidney,Kidney,Normal,Normal cell,Glomerular endothelial cell
Endothelial cell,,Flt1,Human,Kidney,Kidney,Normal,Normal cell,Glomerular endothelial cell
Endothelial cell,,Ehd3,Human,Kidney,Kidney,Normal,Normal cell,Glomerular endothelial cell
Endothelial cell,,Bmx,Human,Kidney,Kidney,Normal,Normal cell,Glomerular endothelial cell
Endothelial cell,,Smad6,Human,Kidney,Kidney,Normal,Normal cell,Glomerular endothelial cell
Endothelial cell,,Lpl,Human,Kidney,Kidney,Normal,Normal cell,Glomerular endothelial cell
Endothelial cell,,Trpv4,Human,Kidney,Kidney,Normal,Normal cell,Glomerular endothelial cell
Endothelial cell,,Mapt,Human,Kidney,Kidney,Normal,Normal cell,Glomerular endothelial cell
Endothelial cell,,Mgp,Human,Kidney,Kidney,Normal,Normal cell,Glomerular endothelial cell
Endothelial cell,,Kdr,Human,Kidney,Kidney,Normal,Normal cell,Glomerular endothelial cell
Endothelial cell,,Tsapn7,Human,Kidney,Kidney,Normal,Normal cell,Glomerular endothelial cell
Endothelial cell,,Plat,Human,Kidney,Kidney,Normal,Normal cell,Glomerular endothelial cell
Endothelial cell,,Emcn,Human,Kidney,Kidney,Normal,Normal cell,Glomerular endothelial cell
