broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Primitive vesicle cell,,CAMK2A,Human,Kidney,Fetal kidney,Normal,Normal cell,Primitive vesicle cell
Primitive vesicle cell,,DSC1,Human,Kidney,Fetal kidney,Normal,Normal cell,Primitive vesicle cell
Primitive vesicle cell,,LINC01031,Human,Kidney,Fetal kidney,Normal,Normal cell,Primitive vesicle cell
Primitive vesicle cell,,RSPO1,Human,Kidney,Fetal kidney,Normal,Normal cell,Primitive vesicle cell
Primitive vesicle cell,,KIRREL2,Human,Kidney,Fetal kidney,Normal,Normal cell,Primitive vesicle cell
Primitive vesicle cell,,RFPL1,Human,Kidney,Fetal kidney,Normal,Normal cell,Primitive vesicle cell
Primitive vesicle cell,,RP1-137K24.1,Human,Kidney,Fetal kidney,Normal,Normal cell,Primitive vesicle cell
Primitive vesicle cell,,RP11-449D8.1,Human,Kidney,Fetal kidney,Normal,Normal cell,Primitive vesicle cell
Primitive vesicle cell,,DACH2,Human,Kidney,Fetal kidney,Normal,Normal cell,Primitive vesicle cell
Primitive vesicle cell,,RP11-387A1.5,Human,Kidney,Fetal kidney,Normal,Normal cell,Primitive vesicle cell
Primitive vesicle cell,,WFIKKN1,Human,Kidney,Fetal kidney,Normal,Normal cell,Primitive vesicle cell
Primitive vesicle cell,,KREMEN2,Human,Kidney,Fetal kidney,Normal,Normal cell,Primitive vesicle cell
Primitive vesicle cell,,AC092159.2,Human,Kidney,Fetal kidney,Normal,Normal cell,Primitive vesicle cell
