broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Tubular cell,Proximal,SLC22A8,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,Proximal,LRP2,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,Proximal,CUBN,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,Proximal,SLC13A1,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,Proximal,SLC22A5,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,Proximal,SLC5A12,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,Intestinal Alkaline Phosphatase,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,ECM,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,EMT,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,ALDOB,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,DCXR,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,Villin-1,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,NHE3,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,PDZK1IP1,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,ABCC4,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,EPCAM,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,KRT18,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,Lrp2,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,MMRN1,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,ITK,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
Tubular cell,,SLC9A3,Human,Kidney,Kidney,Normal,Normal cell,Proximal tubular cell
