broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,,CD3,Human,Kidney,Kidney,Normal,Normal cell,T cell
T cell,,CD28,Human,Kidney,Kidney,Normal,Normal cell,T cell
T cell,,CD3E,Human,Kidney,Kidney,Normal,Normal cell,T cell
T cell,,CD3D,Human,Kidney,Kidney,Normal,Normal cell,T cell
T cell,,CD69,Human,Kidney,Kidney,Normal,Normal cell,T cell
T cell,,IL7R,Human,Kidney,Kidney,Normal,Normal cell,T cell
T cell,,CD8A,Human,Kidney,Kidney,Normal,Normal cell,T cell
T cell,,Cd247,Human,Kidney,Kidney,Normal,Normal cell,T cell
T cell,,Nkg7,Human,Kidney,Kidney,Normal,Normal cell,T cell
T cell,,Cxcr6,Human,Kidney,Kidney,Normal,Normal cell,T cell
T cell,,Cd3d,Human,Kidney,Kidney,Normal,Normal cell,T cell
T cell,,CD8,Human,Kidney,Kidney,Normal,Normal cell,T cell
