broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
B cell,,MS4A1,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,ITM2C,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,HLA-DPB1,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,CD79B,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,IGHG2,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,CD79A,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,Fcmr,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,Ebf1,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,Cd19,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,Fcrl1,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,Siglecg,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,Cd22,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,Ly6d,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,Ms4a1,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,Cd79b,Human,Kidney,Kidney,Normal,Normal cell,B cell
B cell,,Cd79a,Human,Kidney,Kidney,Normal,Normal cell,B cell
