broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Mesenchymal cell,,PDGFRA,Human,Kidney,Kidney,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,COL3A1,Human,Kidney,Kidney,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,PITX2,Human,Kidney,Kidney,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,NGAL,Human,Kidney,Kidney,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,COL4A1,Human,Kidney,Kidney,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,Cystatin C,Human,Kidney,Kidney,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,VIM,Human,Kidney,Kidney,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,ZEB1,Human,Kidney,Kidney,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,Clusterin,Human,Kidney,Kidney,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,KIM1,Human,Kidney,Kidney,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,LCN2,Human,Kidney,Kidney,Normal,Normal cell,Mesenchymal cell
Mesenchymal cell,,HAVCR1,Human,Kidney,Kidney,Normal,Normal cell,Mesenchymal cell
