broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,Activated,CD70,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,Activated double-positive T cell
T cell,,GNA15,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,Activated double-positive T cell
hepatic stellate cell,Activated,COL3A1,Human,Liver,Liver,Normal,Normal cell,Activated hepatic stellate cell
hepatic stellate cell,Activated,COL1A2,Human,Liver,Liver,Normal,Normal cell,Activated hepatic stellate cell
hepatic stellate cell,Activated,COL1A1,Human,Liver,Liver,Normal,Normal cell,Activated hepatic stellate cell
hepatic stellate cell,Activated,ACTA2,Human,Liver,Liver,Normal,Normal cell,Activated hepatic stellate cell
Alpha cell,Alpha,ARX,Human,Liver,Liver,Normal,Normal cell,Alpha cell (α cell)
Alpha cell,Alpha,GCG,Human,Liver,Liver,Normal,Normal cell,Alpha cell (α cell)
Artery cell,,ITGA2,Human,Liver,Fetal liver,Normal,Normal cell,Artery cell
Artery cell,,ITGB4,Human,Liver,Fetal liver,Normal,Normal cell,Artery cell
B cell,,CD79A,Human,Liver,Liver,Cholangiocarcinoma,Cancer cell,B cell
B cell,,CD20,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,B cell
B cell,,CD19,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,B cell
B cell,,CD79A,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,B cell
B cell,,MS4A1,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,B cell
B cell,,IGH1,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,B cell
B cell,,IGHD,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,B cell
B cell,,MS4A1,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,B cell
B cell,,CD79B,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,B cell
B cell,,CD79A,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,B cell
B cell,,BANK1,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,B cell
B cell,,CD19,Human,Liver,Liver,Liver Cancer,Cancer cell,B cell
B cell,,CD20,Human,Liver,Liver,Liver Cancer,Cancer cell,B cell
B cell,,MS4A1,Human,Liver,Liver,Liver Cancer,Cancer cell,B cell
B cell,,CD24,Human,Liver,Fetal liver,Normal,Normal cell,B cell
B cell,,CD20,Human,Liver,Fetal liver,Normal,Normal cell,B cell
B cell,,CD19,Human,Liver,Fetal liver,Normal,Normal cell,B cell
B cell,,PAX5,Human,Liver,Fetal liver,Normal,Normal cell,B cell
B cell,,MS4A1,Human,Liver,Fetal liver,Normal,Normal cell,B cell
B cell,,CD20,Human,Liver,Intrahepatic cholangio,Normal,Normal cell,B cell
B cell,,MS4A1,Human,Liver,Intrahepatic cholangio,Normal,Normal cell,B cell
B cell,,CD45RO,Human,Liver,Liver,Normal,Normal cell,B cell
B cell,,CD20,Human,Liver,Liver,Normal,Normal cell,B cell
B cell,,CD79a,Human,Liver,Liver,Normal,Normal cell,B cell
B cell,,CD80,Human,Liver,Liver,Normal,Normal cell,B cell
B cell,,CD86,Human,Liver,Liver,Normal,Normal cell,B cell
