broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Cholangiocyte,,EPCAM,Human,Liver,Liver,Normal,Normal cell,Cholangiocyte
Cholangiocyte,,KRT7,Human,Liver,Liver,Normal,Normal cell,Cholangiocyte
Cholangiocyte,,ACE2,Human,Liver,Liver,Normal,Normal cell,Cholangiocyte
Cholangiocyte,,GGT,Human,Liver,Liver,Normal,Normal cell,Cholangiocyte
Cholangiocyte,,HNF1B,Human,Liver,Liver,Normal,Normal cell,Cholangiocyte
Cholangiocyte,,KRT19,Human,Liver,Liver,Normal,Normal cell,Cholangiocyte
Cholangiocyte,,SOX9,Human,Liver,Liver,Normal,Normal cell,Cholangiocyte
Cholangiocyte,,CFTR,Human,Liver,Liver,Normal,Normal cell,Cholangiocyte
Cholangiocyte,,LCN2,Human,Liver,Liver,Normal,Normal cell,Cholangiocyte
Cholangiocyte,,ELF3,Human,Liver,Liver,Normal,Normal cell,Cholangiocyte
Cholangiocyte,,FXYD2,Human,Liver,Liver,Normal,Normal cell,Cholangiocyte
Cholangiocyte,,GGT1,Human,Liver,Liver,Normal,Normal cell,Cholangiocyte
