broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,Exhausted,TOX,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,Exhausted,PDCD1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,Exhausted,CTLA4,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,Exhausted,HAVCR2,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,Exhausted,TIGIT,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,CD4+,CD4,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,FUT8,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,SLC9A9,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,GSPT1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,DR1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,ITGA2,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,LINC00963,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,MAP1LC3A,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,ATXN1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,CTSD,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,SMC5,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,BST2,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,METTL8,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,OGG1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,ADAM19,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,NMI,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,TRPS1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,CCDC50,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,LYST,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,SHFM1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,UNQ6494,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,SUSD6,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,DUSP4,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,PRKAG1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,SRGN,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,MAPKAPK3,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,CAMK1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,CDKN2A,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,ETV7,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,ITM2A,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,LAP3,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,BTLA,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,BATF,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,ZEB1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,LASP1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,CD82,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,DBNL,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,GBP4,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,RABGAP1L,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,PKM,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,RILPL2,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,TMEM2,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,ENTPD1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,SFXN1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,AHI1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,BHLHE40-AS1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,NUTF2,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,C9orf16,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,GNG4,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,IFI35,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,TOX2,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,KCNK5,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,CD84,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,GAPDH,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,TNFSF8,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,ASB2,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,RGS1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,DNPH1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,IFI27L2,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,CAPZB,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,SLC6A6,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,TNFRSF18,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,PTPN11,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,RNF19A,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,TBXAS1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,CREM,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,CLTC,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,UBE2L6,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,GALM,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,NAB1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,IFNG,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,ATP5C1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,SQRDL,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,TBC1D2B,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,CXCL13,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,AKR1A1,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,WARS,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,ARHGAP9,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,N4BP2,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,ICOS,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,CKAP2,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,FKBP1A-SDCBP2,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,CD38,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,ATP6V1A,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,RBPJ,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,RGS2,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,PRKAR1A,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,SARDH,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
T cell,,TRAF3,Human,Liver,Liver,Normal,Normal cell,Exhausted CD4+ T cell
