broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Liver cell,Liver bud,TUBA4A,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,Liver bud,ASNSD1,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,Liver bud,AMBP,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,Liver bud,TMEM176B,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,Liver bud,TNFSF14,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,Liver bud,APOH,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,ERICH5,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,MRPL33,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,OPN3,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,CYP3A7,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,IFI30,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,KYNU,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,TGM2,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,TIMP1,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,C19orf33,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,IP6K3,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,FTH1,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,GC,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,BID,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,MT1A,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,SIRPA,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,AK2,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,PCOLCE2,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,SERPINE1,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,RRAD,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,HIST2H2AA4,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,SOD2,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,PTRH1,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,VIM,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,ASUN,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,C14orf105,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,SLC16A7,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,RAB31,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,STEAP3,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,KLHL2,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,FKBP4,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,NR1H4,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,PRG4,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,OSMR,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,FARSB,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,POLR3K,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,APOL1,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,GMNN,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,SCN9A,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,CFHR1,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,POLE4,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,INO80C,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,CHCHD2,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,CYP2J2,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,NME1,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,MRPS28,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,C1R,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,RBP1,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,LYRM4,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,MET,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,LECT2,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
Liver cell,,GAL,Human,Liver,Liver,Normal,Normal cell,Liver bud hepatic cell
