broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,Regulatory,FOXP3,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,IL2RA,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CTLA4,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,IKZF2,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,IKZF4,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CCR8,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD27,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD27-AS1,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD58,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD70,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD74,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD79B,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD80,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD82,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD83,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD177,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD59,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD7,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD27,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD27-AS1,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD58,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD70,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD74,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD79B,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD80,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
T cell,Regulatory,CD82,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Regulatory T (Treg) cell
