broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Dendritic cell,,CD1a,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,MHC Class II,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD303,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD83,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD141,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD1c,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD209,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD11c,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,CCR6,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,PCD1,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,PCX3CR1,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,PFLT3,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,HLADR/DQ/DP,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD1C,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,TYROBP,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,FCER1G,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD137,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,IL3RA,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,IRF7,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,HLA-DRA,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD74,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,CCL20,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,LAMP3,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,Cd209a,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,CLEC4C,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,THBD,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
Dendritic cell,,TNFRSF9,Human,Lung,Lung,Normal,Normal cell,Dendritic cell
