broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
B cell,Follicular,PLAC8,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
B cell,Follicular,BANK1,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
B cell,Follicular,GPR183,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
B cell,Follicular,SELL,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
B cell,,REL,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
B cell,,NR4A2,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
B cell,,FCMR,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
B cell,,FCER2,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
B cell,,HLA-DRB5,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
B cell,,CD83,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
B cell,,Mar1,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
B cell,,LINC00926,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
B cell,,CD69,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
B cell,,SETMAR,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Follicular B cell
