broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Monocyte,,CD36,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,CD68,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,CD14,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,IL1B,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,IL1R2,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,INSIG1,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,THBS1,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,OSM,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,SERPING1,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,FABP4,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,INHBA,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,FCN1,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,CD11b,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,HLA-DR,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,CD11c,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,CD64,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,VCAN,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,S100A8,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,CSF1R,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,TLR2,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,NUPR1,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,FN1,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,CD16,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,CXCL10,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,Ly6C,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,Ly6G,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,MAFB,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,FPR3,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,CXCL17,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,TYROBP,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,FCER1G,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,APOBEC3A,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,CCR2,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,MRP14,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,S100a4,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,FCGR1A,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,FCGR3A,Human,Lung,Lung,Normal,Normal cell,Monocyte
Monocyte,,S100A9,Human,Lung,Lung,Normal,Normal cell,Monocyte
