broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,,CD8,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,CD3,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,CD4,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,CD68,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,CD3D,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,CD8A,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,IGHA1,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,JCHAIN,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,IGHG1,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,IGLV3-19,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,IGHV4-34,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,GNLY,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,CD3G,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,CD3E,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,FOXP3,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,TNFRSF4,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,CTLA4,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,CD40LG,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,LTB,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,GZMK,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,IL2RA,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,GZMH,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,CD70,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,IL7R,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,CD8B,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,Cd3d,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,Cd4,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,IL7r,Human,Lung,Lung,Normal,Normal cell,T cell
T cell,,Sell,Human,Lung,Lung,Normal,Normal cell,T cell
