broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Monocyte,,FCGR1A,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,CD68,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,CSF1R,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,CX3CR1,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,CD14,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,CD163,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,MARCO,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,APOE,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,MRC1,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,MCEMP1,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,CCR2,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,ITGAM,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,ITGAX,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,FCGR3A,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,MSR1,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,S100A12,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,LYZ,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,S100A9,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
Monocyte,,FCN1,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Monocyte
