broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Myofibroblast,,MYO1D,Human,Lung,Lung,Normal,Normal cell,Myofibroblast
Myofibroblast,,MYO10,Human,Lung,Lung,Normal,Normal cell,Myofibroblast
Myofibroblast,,NEBL,Human,Lung,Lung,Normal,Normal cell,Myofibroblast
Myofibroblast,,MYLK,Human,Lung,Lung,Normal,Normal cell,Myofibroblast
Myofibroblast,,RYR2,Human,Lung,Lung,Normal,Normal cell,Myofibroblast
Myofibroblast,,PDGFRB,Human,Lung,Lung,Normal,Normal cell,Myofibroblast
Myofibroblast,,ITGA8,Human,Lung,Lung,Normal,Normal cell,Myofibroblast
Myofibroblast,,COL1A1,Human,Lung,Lung,Normal,Normal cell,Myofibroblast
Myofibroblast,,ACTA2,Human,Lung,Lung,Normal,Normal cell,Myofibroblast
Myofibroblast,,COL3A1,Human,Lung,Lung,Normal,Normal cell,Myofibroblast
Myofibroblast,,periostin,Human,Lung,Lung,Normal,Normal cell,Myofibroblast
Myofibroblast,,Hhip,Human,Lung,Lung,Normal,Normal cell,Myofibroblast
