broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Plasma cell,,TNFRSF17,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,CD38,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,IGHG1,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,SDC1,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,CD79A,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,XBP1,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,GCSAM,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,IGHA2,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,BCMA,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,LRMP,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,IGLC7,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,IGLL5,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,HSP90B1,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,MZB1,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,FKBP11,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,IGHG2,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,DERL3,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,SUSD3,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,IGHGP,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,AICDA,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
Plasma cell,,IRAG2,Human,Lung,Lung,Non-small Cell Lung Cancer,Cancer cell,Plasma cell
