broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Cancer cell,,CD15,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,LMP1,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,OCT2,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,CD79A,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,EBER,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,CD3,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,CD21,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,CD30,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,BOB1,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,CD20,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,CD57,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,PD1,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,Pax-5,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,IgD,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,CD45,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,FUT4,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,PDLIM7,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,SLC22A2,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,CR2,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,TNFRSF8,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,POU2AF1,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,MS4A1,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,B3GAT1,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,PDCD1,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
Cancer cell,,PTPRC,Human,Lymph node,Lymph node,Hodgkin Lymphoma,Cancer cell,Cancer cell
