broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
B cell,Antibody-secreting,PRDM1,Human,Lymph,Lymph,Lymphoma,Cancer cell,Antibody-secreting cell
B cell,,CD19,Human,Lymph,Lymph,Non-Hodgkin's Lymphoma,Cancer cell,B cell
B cell,,MS4A1,Human,Lymph,Lymph,Non-Hodgkin's Lymphoma,Cancer cell,B cell
B cell,,CD22,Human,Lymph,Lymph,Non-Hodgkin's Lymphoma,Cancer cell,B cell
B cell,Co-stimulatory,CD80,Human,Lymph,Lymph,Non-Hodgkin's Lymphoma,Cancer cell,B cell
B cell,Co-stimulatory,CD86,Human,Lymph,Lymph,Non-Hodgkin's Lymphoma,Cancer cell,B cell
B cell,Immune checkpoint,CTLA4,Human,Lymph,Lymph,Non-Hodgkin's Lymphoma,Cancer cell,B cell
B cell,Activation,CD27,Human,Lymph,Lymph,Non-Hodgkin's Lymphoma,Cancer cell,B cell
B cell,Activation,CD38,Human,Lymph,Lymph,Non-Hodgkin's Lymphoma,Cancer cell,B cell
B cell,Plasma cell,CD138,Human,Lymph,Lymph,Non-Hodgkin's Lymphoma,Cancer cell,B cell
B cell,Plasma cell,SDC1,Human,Lymph,Lymph,Non-Hodgkin's Lymphoma,Cancer cell,B cell
B cell,,B2M,Human,Lymph,Lymph,Non-Hodgkin's Lymphoma,Cancer cell,B cell
B cell,,MS4A1,Human,Lymph,Lymph,Normal,Normal cell,B cell
Cancer cell,,CYB5R2,Human,Lymph,Lymph,Activated B-cell like——Diffuse large B cell lymphoma (ABC DLBCL),Cancer cell,Cancer cell
Cancer cell,,LIMD1,Human,Lymph,Lymph,Activated B-cell like——Diffuse large B cell lymphoma (ABC DLBCL),Cancer cell,Cancer cell
Cancer cell,,SH3BP5,Human,Lymph,Lymph,Activated B-cell like——Diffuse large B cell lymphoma (ABC DLBCL),Cancer cell,Cancer cell
Cancer cell,,CREB3L2,Human,Lymph,Lymph,Activated B-cell like——Diffuse large B cell lymphoma (ABC DLBCL),Cancer cell,Cancer cell
Cancer cell,,IRF4,Human,Lymph,Lymph,Activated B-cell like——Diffuse large B cell lymphoma (ABC DLBCL),Cancer cell,Cancer cell
Cancer cell,,RAB7L1,Human,Lymph,Lymph,Activated B-cell like——Diffuse large B cell lymphoma (ABC DLBCL),Cancer cell,Cancer cell
Cancer cell,,PIM2,Human,Lymph,Lymph,Activated B-cell like——Diffuse large B cell lymphoma (ABC DLBCL),Cancer cell,Cancer cell
Cancer cell,,TACI,Human,Lymph,Lymph,Activated B-cell like——Diffuse large B cell lymphoma (ABC DLBCL),Cancer cell,Cancer cell
Cancer cell,,CCDC50,Human,Lymph,Lymph,Activated B-cell like——Diffuse large B cell lymphoma (ABC DLBCL),Cancer cell,Cancer cell
Cancer cell,,FOXP1,Human,Lymph,Lymph,Activated B-cell like——Diffuse large B cell lymphoma (ABC DLBCL),Cancer cell,Cancer cell
Cancer cell,,RAB29,Human,Lymph,Lymph,Activated B-cell like——Diffuse large B cell lymphoma (ABC DLBCL),Cancer cell,Cancer cell
Cancer cell,,TNFRSF13B,Human,Lymph,Lymph,Activated B-cell like——Diffuse large B cell lymphoma (ABC DLBCL),Cancer cell,Cancer cell
Cancer cell,,BCL2,Human,Lymph,Lymph,Chronic Lymphocytic Leukemia,Cancer cell,Cancer cell
Cancer cell,,Traf2DN,Human,Lymph,Lymph,Chronic Lymphocytic Leukemia,Cancer cell,Cancer cell
Cancer cell,,NEK6,Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
Cancer cell,,MYBL1,Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
Cancer cell,,MAML3,Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
