broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Cancer cell,,NEK6,Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
Cancer cell,,MYBL1,Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
Cancer cell,,MAML3,Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
Cancer cell,,BCL6#1 (exon3-4),Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
Cancer cell,,BCL6#1 (exon1-2),Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
Cancer cell,,S1PR2,Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
Cancer cell,,SERPINA9,Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
Cancer cell,,LMO2,Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
Cancer cell,,ASB13,Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
Cancer cell,,CD10,Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
Cancer cell,,ITPKB,Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
Cancer cell,,MME,Human,Lymph,Lymph,Germinal center B-cell like——Diffuse large B cell lymphoma (GCB DLBCL),Cancer cell,Cancer cell
