broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Endothelial cell,,ICAM1,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD31,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD54,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,PECAM1,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD34,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Endothelial cell
Pericyte,,CD29,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Pericyte
Pericyte,,α-SMA,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Pericyte
Pericyte,,CD146,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Pericyte
Pericyte,,ITGB1,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Pericyte
Pericyte,,MCAM,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Pericyte
Endothelial cell,,ICAM1,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD31,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD54,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,PECAM1,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD34,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Endothelial cell
Pericyte,,CD29,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Pericyte
Pericyte,,α-SMA,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Pericyte
Pericyte,,CD146,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Pericyte
Pericyte,,ITGB1,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Pericyte
Pericyte,,MCAM,Human,Nodular tissue,Blood vessel,Normal,Normal cell,Pericyte
