broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Pancreatic polypeptide cell,,MEIS2,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,ENTPD2,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,ETV1,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,BHLHB26,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,RBTN3,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,ZNF506,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,PAX6,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,BHLHB27,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,THSD7A,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,AQP3,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,CARTPT,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,EGR3,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,MEIS1,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,SERTM1,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,ARHGAP3,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,ARX,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,SLITRK6,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,PTGFR,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,PP,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,SPP1,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,FOLR1,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,LMO3,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,CHN2,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
Pancreatic polypeptide cell,,PPA1,Human,Pancreas,Pancreas,Normal,Normal cell,Pancreatic polypeptide cell
