broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Neutrophil,,CD66b,Human,Placenta,Placenta,Normal,Normal cell,Neutrophil
Neutrophil,,CD16,Human,Placenta,Placenta,Normal,Normal cell,Neutrophil
Neutrophil,,Myeloperoxidase,Human,Placenta,Placenta,Normal,Normal cell,Neutrophil
Neutrophil,,Arginase,Human,Placenta,Placenta,Normal,Normal cell,Neutrophil
Neutrophil,,CD15,Human,Placenta,Placenta,Normal,Normal cell,Neutrophil
Neutrophil,,CD10,Human,Placenta,Placenta,Normal,Normal cell,Neutrophil
Neutrophil,,CD11c,Human,Placenta,Placenta,Normal,Normal cell,Neutrophil
Neutrophil,,CEACAM8,Human,Placenta,Placenta,Normal,Normal cell,Neutrophil
Neutrophil,,FCGR3A,Human,Placenta,Placenta,Normal,Normal cell,Neutrophil
Neutrophil,,FUT4,Human,Placenta,Placenta,Normal,Normal cell,Neutrophil
Neutrophil,,MME,Human,Placenta,Placenta,Normal,Normal cell,Neutrophil
