broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Cancer stem cell,,CD44,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,CD133,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,CD24,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,Integrin alpha2beta1,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,CXCR4,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,ABCG2,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,ALDH-1,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,EpCAM,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,CD49,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,HGF,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,POU5F1,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,EZH2,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,PSCA,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,ITGA2,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,PROM1,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
Cancer stem cell,,TACSTD2,Human,Prostate,Prostate,Normal,Normal cell,Cancer stem cell
