broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Fibroblast,,MYH11,Human,Prostate,Prostate,Prostate Cancer,Cancer cell,Fibroblast
Fibroblast,,GJA4,Human,Prostate,Prostate,Prostate Cancer,Cancer cell,Fibroblast
Fibroblast,,RSPO3,Human,Prostate,Prostate,Prostate Cancer,Cancer cell,Fibroblast
Fibroblast,,TNFAIP6,Human,Prostate,Prostate,Prostate Cancer,Cancer cell,Fibroblast
Fibroblast,,MT1A,Human,Prostate,Prostate,Prostate Cancer,Cancer cell,Fibroblast
Fibroblast,,PTGDS,Human,Prostate,Prostate,Prostate Cancer,Cancer cell,Fibroblast
Fibroblast,,APOD,Human,Prostate,Prostate,Prostate Cancer,Cancer cell,Fibroblast
Fibroblast,,FBLN1,Human,Prostate,Prostate,Prostate Cancer,Cancer cell,Fibroblast
Fibroblast,,DCN,Human,Prostate,Prostate,Prostate Cancer,Cancer cell,Fibroblast
Fibroblast,,RGS5,Human,Prostate,Prostate,Prostate Cancer,Cancer cell,Fibroblast
Fibroblast,,FGF2,Human,Prostate,Prostate,Prostate Cancer,Cancer cell,Fibroblast
