broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Dendritic cell,,CD205,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
Dendritic cell,,SIRPA,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD209,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD40,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD80,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
Dendritic cell,,AIF1,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD11c,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD86,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
Dendritic cell,,CD14,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
Dendritic cell,,PD1-L2,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
Dendritic cell,,LAMP3,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
Dendritic cell,,CIITA,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
Dendritic cell,,PD1-L1,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
Dendritic cell,,LY75,Human,Skin,Epithelium,Normal,Normal cell,Dendritic cell
