broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,CD4+,CD4,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,GIPR,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,SYTL2,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,ABCG2,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,LNPEP,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,ANXA7,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,ERAP1,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,FYCO1,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,ZNF816A,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,STAT3,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,CCDC66,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,AFF3,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,HERC5,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,UBLCP1,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,IFIH1,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,LEKR1,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,GJB2,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,ERAP2,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,METTL1,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,RASGRP1,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,CD3E,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
T cell,,ZNF816,Human,Skin,Skin,Normal,Normal cell,CD4+ T cell
