broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Cancer cell,,MLANA,Human,Skin,Skin,Melanoma,Cancer cell,Cancer cell
Cancer cell,,SOX10,Human,Skin,Skin,Melanoma,Cancer cell,Cancer cell
Cancer cell,,HMB45,Human,Skin,Skin,Melanoma,Cancer cell,Cancer cell
Cancer cell,,TRP1,Human,Skin,Skin,Melanoma,Cancer cell,Cancer cell
Cancer cell,,TYR,Human,Skin,Skin,Melanoma,Cancer cell,Cancer cell
Cancer cell,,MITF,Human,Skin,Skin,Melanoma,Cancer cell,Cancer cell
Cancer cell,,TRP2,Human,Skin,Skin,Melanoma,Cancer cell,Cancer cell
Cancer cell,,PMEL,Human,Skin,Skin,Melanoma,Cancer cell,Cancer cell
Cancer cell,,PRSS1,Human,Skin,Skin,Melanoma,Cancer cell,Cancer cell
Cancer cell,,RANBP2,Human,Skin,Skin,Melanoma,Cancer cell,Cancer cell
