broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Stem cell,,NFATC1,Human,Skin,Skin,Normal,Normal cell,Stem cell
Stem cell,,LHX2,Human,Skin,Skin,Normal,Normal cell,Stem cell
Stem cell,,KRT15,Human,Skin,Skin,Normal,Normal cell,Stem cell
Stem cell,,LGR5,Human,Skin,Skin,Normal,Normal cell,Stem cell
Stem cell,,PLET1,Human,Skin,Skin,Normal,Normal cell,Stem cell
Stem cell,,BLIMP1,Human,Skin,Skin,Normal,Normal cell,Stem cell
Stem cell,,GLI1,Human,Skin,Skin,Normal,Normal cell,Stem cell
Stem cell,,LRIG1,Human,Skin,Skin,Normal,Normal cell,Stem cell
Stem cell,,LGR6,Human,Skin,Skin,Normal,Normal cell,Stem cell
Stem cell,,PRDM1,Human,Skin,Skin,Normal,Normal cell,Stem cell
