broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,,ITGAE,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,CD8B,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,ENTPD1,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,CD8A,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,CD3G,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,CD3D,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,KLRG1,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,CD4,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,CD3E,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,CD2,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,CTLA-4,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,TIM-3,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,TIGIT,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,PD-1,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,CTLA4,Human,Skin,Skin,Melanoma,Cancer cell,T cell
T cell,,PDCD1,Human,Skin,Skin,Melanoma,Cancer cell,T cell
