broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Neutrophil,,CXCR2,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,SLC25A37,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,TECPR2,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,CXCR1,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,KCNJ15,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,STEAP4,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,VNN3,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,CYP4F3,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,TLE3,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,TNFRSF10C,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,HAL,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,MEGF9,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,CEACAM3,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,FCGR3B,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,CA4,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
Neutrophil,,VNN3P,Human,Soft tissue,Soft tissue,Normal,Normal cell,Neutrophil
