broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Megakaryocyte,,GNG11,Human,Spleen,Spleen,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,PIG6B,Human,Spleen,Spleen,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,NRGN,Human,Spleen,Spleen,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,PPBP,Human,Spleen,Spleen,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,MYL9,Human,Spleen,Spleen,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,SPARC,Human,Spleen,Spleen,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CAVIN2,Human,Spleen,Spleen,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,PF4,Human,Spleen,Spleen,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,TUBB1,Human,Spleen,Spleen,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,ITGA2B,Human,Spleen,Spleen,Normal,Normal cell,Megakaryocyte
