broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
dendritic cell,Activated,INDO,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Activated dendritic cell
dendritic cell,Activated,OAS3,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Activated dendritic cell
dendritic cell,Activated,EBI3,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Activated dendritic cell
dendritic cell,Activated,CCL1,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Activated dendritic cell
dendritic cell,Activated,IDO1,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Activated dendritic cell
dendritic cell,,LAMP3,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Activated dendritic cell
Adipocyte,,ATGL,Human,Stomach,Stomach,Gastrointestinal tumor,Cancer cell,Adipocyte
Adipocyte,,FABP4,Human,Stomach,Stomach,Gastrointestinal tumor,Cancer cell,Adipocyte
Adipocyte,,AdipoQ,Human,Stomach,Stomach,Gastrointestinal tumor,Cancer cell,Adipocyte
Adipocyte,,HSL,Human,Stomach,Stomach,Gastrointestinal tumor,Cancer cell,Adipocyte
Adipocyte,,CEBPα,Human,Stomach,Stomach,Gastrointestinal tumor,Cancer cell,Adipocyte
Adipocyte,,PNPLA2,Human,Stomach,Stomach,Gastrointestinal tumor,Cancer cell,Adipocyte
Adipocyte,,LIPE,Human,Stomach,Stomach,Gastrointestinal tumor,Cancer cell,Adipocyte
B cell,,MS4A1,Human,Stomach,Stomach,Gastric Adenocarcinoma,Cancer cell,B cell
B cell,,PTPRC,Human,Stomach,Stomach,Gastric Adenocarcinoma,Cancer cell,B cell
B cell,,CD19,Human,Stomach,Stomach,Gastric Adenocarcinoma,Cancer cell,B cell
B cell,,CD79A,Human,Stomach,Stomach,Gastric Adenocarcinoma,Cancer cell,B cell
B cell,,J-chain,Human,Stomach,Stomach,Gastric Adenocarcinoma,Cancer cell,B cell
B cell,,MS4A1,Human,Stomach,Stomach,Gastric cancer,Cancer cell,B cell
B cell,,BLK,Human,Stomach,Stomach,Gastric cancer,Cancer cell,B cell
B cell,,CD79B,Human,Stomach,Stomach,Gastric cancer,Cancer cell,B cell
B cell,,CD19,Human,Stomach,Stomach,Gastric cancer,Cancer cell,B cell
B cell,,BANK1,Human,Stomach,Stomach,Gastric cancer,Cancer cell,B cell
B cell,,CD79A,Human,Stomach,Stomach,Gastric cancer,Cancer cell,B cell
B cell,,CD20,Human,Stomach,Stomach,Gastric cancer,Cancer cell,B cell
B cell,,CD20,Human,Stomach,Stomach,Normal,Normal cell,B cell
B cell,,MS4A1,Human,Stomach,Stomach,Normal,Normal cell,B cell
B cell,,CD19,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,B10 Regulatory B cell
B cell,Regulatory,CD24,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,B10 Regulatory B cell
B cell,Regulatory,CD38,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,B10 Regulatory B cell
B cell,Regulatory,CD27,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,B10 Regulatory B cell
Basal gland,mucous,MUC6,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Basal gland mucous cell
Basal gland,mucous,TFF2,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Basal gland mucous cell
Cancer cell,,MKI67,Human,Stomach,Stomach,Gastric cancer,Cancer cell,Cancer cell
Cancer cell,,BIRC5,Human,Stomach,Stomach,Gastric cancer,Cancer cell,Cancer cell
Cancer cell,,CDK1,Human,Stomach,Stomach,Gastric cancer,Cancer cell,Cancer cell
Cancer cell,,NOTCH1,Human,Stomach,Stomach,Stomach Cancer,Cancer cell,Cancer cell
Cancer cell,,ARID1A,Human,Stomach,Stomach,Stomach Cancer,Cancer cell,Cancer cell
Cancer cell,,APC,Human,Stomach,Stomach,Stomach Cancer,Cancer cell,Cancer cell
Cancer cell,,TP53,Human,Stomach,Stomach,Stomach Cancer,Cancer cell,Cancer cell
Cancer cell,,KRAS,Human,Stomach,Stomach,Stomach Cancer,Cancer cell,Cancer cell
Cancer cell,,SMARCB1,Human,Stomach,Stomach,Stomach Cancer,Cancer cell,Cancer cell
stem cell,Cancer,Nestin,Human,Stomach,Stomach,Gastric Adenocarcinoma,Cancer cell,Cancer stem cell
stem cell,Cancer,CD44,Human,Stomach,Stomach,Gastric Adenocarcinoma,Cancer cell,Cancer stem cell
stem cell,Cancer,CD44,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,EpCAM,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,CD24,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,CD133,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,CD44v8-10,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,LGR5,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,DLL4,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,ITGA6,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,PROM1,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Stem Cell,CD44,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Stem Cell,CD133,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Stem Cell,LGR5,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Stem Cell,ITGA6,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Stem Cell,PROM1,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
Cancer cell,stem,CD44,Human,Stomach,Stomach,Normal,Normal cell,Cancer stem cell
T cell,CD4+,CD4,Human,Stomach,Stomach,Gastric Adenocarcinoma,Cancer cell,CD4+ T cell
T cell,,CD40LG,Human,Stomach,Stomach,Gastric Adenocarcinoma,Cancer cell,CD4+ T cell
T cell,,IL7R,Human,Stomach,Stomach,Gastric Adenocarcinoma,Cancer cell,CD4+ T cell
T cell,,CD3D,Human,Stomach,Stomach,Gastric Adenocarcinoma,Cancer cell,CD4+ T cell
T cell,,CD3E,Human,Stomach,Stomach,Gastric Adenocarcinoma,Cancer cell,CD4+ T cell
T cell,,PTPRC,Human,Stomach,Stomach,Gastric Adenocarcinoma,Cancer cell,CD4+ T cell
T cell,CD4+,CD3D,Human,Stomach,Stomach,Gastric cancer,Cancer cell,CD4+ T cell
T cell,CD4+,CD3E,Human,Stomach,Stomach,Gastric cancer,Cancer cell,CD4+ T cell
T cell,CD4+,CD3G,Human,Stomach,Stomach,Gastric cancer,Cancer cell,CD4+ T cell
T cell,CD4+,CD2,Human,Stomach,Stomach,Gastric cancer,Cancer cell,CD4+ T cell
T cell,CD4+,TRAC,Human,Stomach,Stomach,Gastric cancer,Cancer cell,CD4+ T cell
T cell,CD4+,TRBC2,Human,Stomach,Stomach,Gastric cancer,Cancer cell,CD4+ T cell
T cell,CD4+,IL7R,Human,Stomach,Stomach,Gastric cancer,Cancer cell,CD4+ T cell
T cell,CD4+,LEF1,Human,Stomach,Stomach,Gastric cancer,Cancer cell,CD4+ T cell
T cell,CD4+,TCF7,Human,Stomach,Stomach,Gastric cancer,Cancer cell,CD4+ T cell
T cell,,AAK1,Human,Stomach,Stomach,Gastric cancer,Cancer cell,CD4+ T cell
T cell,,RPL34,Human,Stomach,Stomach,Gastric cancer,Cancer cell,CD4+ T cell
T cell,,FYB,Human,Stomach,Stomach,Gastric cancer,Cancer cell,CD4+ T cell
