broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
stem cell,Cancer,CD44,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,EpCAM,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,CD24,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,CD133,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,CD44v8-10,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,LGR5,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,DLL4,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,ITGA6,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Cancer,PROM1,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Stem Cell,CD44,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Stem Cell,CD133,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Stem Cell,LGR5,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Stem Cell,ITGA6,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
stem cell,Stem Cell,PROM1,Human,Stomach,Stomach,Gastric Cancer,Cancer cell,Cancer stem cell
