broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Pit cell,,DCUN1D3,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,FAHD2B,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,ADAMTS6,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,GALNT7,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,MBD1,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,TMEM135,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,SALL4,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,RSPO2,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,NTN1,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,BLOC1S3,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,GREM2,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,ZNF747,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,RBL1,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,GKN2,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
Pit cell,,GKN1,Human,Stomach,Stomach,Normal,Normal cell,Pit cell
