broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,Activated,CD25,Human,Thymus,Thymus,Normal,Normal cell,Activated T cell
T cell,Activated,CD69,Human,Thymus,Thymus,Normal,Normal cell,Activated T cell
T cell,Activated,CD44,Human,Thymus,Thymus,Normal,Normal cell,Activated T cell
T cell,Activated,IL2RA,Human,Thymus,Thymus,Normal,Normal cell,Activated T cell
B cell,,CD20,Human,Thymus,Thymus,Normal,Normal cell,B cell
B cell,,MS4A1,Human,Thymus,Thymus,Normal,Normal cell,B cell
Cancer cell,,Acta2,Human,Thymus,Thymus,Thoracic aortic aneurysm,Cancer cell,Cancer cell
Cancer cell,,Myh11,Human,Thymus,Thymus,Thoracic aortic aneurysm,Cancer cell,Cancer cell
Fibroblast,Capsular,SEMA3D,Human,Thymus,Thymus,Normal,Normal cell,Capsular fibroblast(Fb2)
Fibroblast,Capsular,PI16,Human,Thymus,Thymus,Normal,Normal cell,Capsular fibroblast(Fb2)
thymocyte,CD34+,CD34,Human,Thymus,Thymus,Normal,Normal cell,CD34+ thymocyte
thymocyte,,CD7,Human,Thymus,Thymus,Normal,Normal cell,CD34+ thymocyte
thymocyte,,CD123,Human,Thymus,Thymus,Normal,Normal cell,CD34+ thymocyte
thymocyte,,CD5,Human,Thymus,Thymus,Normal,Normal cell,CD34+ thymocyte
thymocyte,,CD44,Human,Thymus,Thymus,Normal,Normal cell,CD34+ thymocyte
thymocyte,,IL3RA,Human,Thymus,Thymus,Normal,Normal cell,CD34+ thymocyte
T cell,CD4+,CD4,Human,Thymus,Thymus,Normal,Normal cell,CD4+ T cell
T cell,,CD40LG,Human,Thymus,Thymus,Normal,Normal cell,CD4+ T cell
T cell,CD8+,CD8B,Human,Thymus,Thymus,Normal,Normal cell,CD8+ T cell
T cell,CD8+,CD8A,Human,Thymus,Thymus,Normal,Normal cell,CD8+ T cell
T cell,CD8+,CD8,Human,Thymus,Thymus,Normal,Normal cell,CD8+ T cell
Ciliated cell,,Prr18,Human,Thymus,Epithelium,Normal,Normal cell,Ciliated cell
Ciliated cell,,FOXJ1,Human,Thymus,Thymus,Normal,Normal cell,Ciliated cell
Ciliated cell,,SOX2,Human,Thymus,Thymus,Normal,Normal cell,Ciliated cell
