broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Epithelial cell,,EpCAM,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,FZ4,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,WNT4,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,K8,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,NEUROD1,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,DLK2,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,FOXN1,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,CHGA,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,PSMB11,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,FOXI1,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,CHRNA1,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,AIRE,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,KRT1,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,EPCAM,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,KRT14,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,MYOD1,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,CD104,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,PDPN,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,PAN-CK,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,HOXB2,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
Epithelial cell,,ITGB4,Human,Thymus,Thymus,Normal,Normal cell,Epithelial cell
