broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Thymus seeding progenitor,,KIAA0087,Human,Thymus,Thymus,Normal,Normal cell,Thymus seeding progenitor (TSP)
Thymus seeding progenitor,,CD53,Human,Thymus,Thymus,Normal,Normal cell,Thymus seeding progenitor (TSP)
Thymus seeding progenitor,,CD164,Human,Thymus,Thymus,Normal,Normal cell,Thymus seeding progenitor (TSP)
Thymus seeding progenitor,,LTB,Human,Thymus,Thymus,Normal,Normal cell,Thymus seeding progenitor (TSP)
Thymus seeding progenitor,,HOXA10,Human,Thymus,Thymus,Normal,Normal cell,Thymus seeding progenitor (TSP)
Thymus seeding progenitor,,HOPX,Human,Thymus,Thymus,Normal,Normal cell,Thymus seeding progenitor (TSP)
Thymus seeding progenitor,,EVL,Human,Thymus,Thymus,Normal,Normal cell,Thymus seeding progenitor (TSP)
Thymus seeding progenitor,,CCR7,Human,Thymus,Thymus,Normal,Normal cell,Thymus seeding progenitor (TSP)
Thymus seeding progenitor,,ARL6IP5,Human,Thymus,Thymus,Normal,Normal cell,Thymus seeding progenitor (TSP)
Thymus seeding progenitor,,HOXA9,Human,Thymus,Thymus,Normal,Normal cell,Thymus seeding progenitor (TSP)
Thymus seeding progenitor,,KIAA0125,Human,Thymus,Thymus,Normal,Normal cell,Thymus seeding progenitor (TSP)
Thymus seeding progenitor,,FAM30A,Human,Thymus,Thymus,Normal,Normal cell,Thymus seeding progenitor (TSP)
