broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
stem cell,,CD44,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,CD105,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,CD29,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,CD73,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,Mitofilin,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,3C4,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,CD45,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,STRO-1,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,ALDH1,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,CD90,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,ITGB1,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,NT5E,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,PTPRC,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,ALDH1A1,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
stem cell,,THY1,Human,Tooth,Dental pulp,Normal,Normal cell,Dental pulp stem cell
