broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Stem cell,,CD105,Human,Tooth,Premolar,Normal,Normal cell,Dental pulp stem cell
Stem cell,,CD34,Human,Tooth,Premolar,Normal,Normal cell,Dental pulp stem cell
Stem cell,,CD14,Human,Tooth,Premolar,Normal,Normal cell,Dental pulp stem cell
Stem cell,,CD9,Human,Tooth,Premolar,Normal,Normal cell,Dental pulp stem cell
Stem cell,,CD73,Human,Tooth,Premolar,Normal,Normal cell,Dental pulp stem cell
Stem cell,,HLA-DR,Human,Tooth,Premolar,Normal,Normal cell,Dental pulp stem cell
Stem cell,,CD13,Human,Tooth,Premolar,Normal,Normal cell,Dental pulp stem cell
Stem cell,,CD45,Human,Tooth,Premolar,Normal,Normal cell,Dental pulp stem cell
Stem cell,,CD11b,Human,Tooth,Premolar,Normal,Normal cell,Dental pulp stem cell
Stem cell,,NT5E,Human,Tooth,Premolar,Normal,Normal cell,Dental pulp stem cell
Stem cell,,ANPEP,Human,Tooth,Premolar,Normal,Normal cell,Dental pulp stem cell
Stem cell,,PTPRC,Human,Tooth,Premolar,Normal,Normal cell,Dental pulp stem cell
