broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Mesenchymal stem cell,,CD166,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD105,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,STRO-1,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD146,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD90,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD34,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD71,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD49f,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD24,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD81,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,ALCAM,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,MCAM,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,THY1,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,TFRC,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,ITGA6,Human,Tooth,Tooth,Normal,Normal cell,Mesenchymal stem cell
