broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Stem cell,Cancer,CD44,Human,Undefined,Undefined,Gastric Cancer,Cancer cell,Cancer stem cell
Stem cell,Cancer,LGR5,Human,Undefined,Undefined,Gastric Cancer,Cancer cell,Cancer stem cell
Stem cell,Cancer,DLL4,Human,Undefined,Undefined,Gastric Cancer,Cancer cell,Cancer stem cell
Stem cell,Cancer,ABCB1,Human,Undefined,Undefined,Gastric Cancer,Cancer cell,Cancer stem cell
Stem cell,Cancer,CD133,Human,Undefined,Undefined,Gastric Cancer,Cancer cell,Cancer stem cell
Stem cell,Cancer,ABCG2,Human,Undefined,Undefined,Gastric Cancer,Cancer cell,Cancer stem cell
Stem cell,Cancer,ALDH1,Human,Undefined,Undefined,Gastric Cancer,Cancer cell,Cancer stem cell
Stem cell,Cancer,CD24,Human,Undefined,Undefined,Gastric Cancer,Cancer cell,Cancer stem cell
Stem cell,Cancer,CD90,Human,Undefined,Undefined,Gastric Cancer,Cancer cell,Cancer stem cell
Stem cell,Cancer,PROM1,Human,Undefined,Undefined,Gastric Cancer,Cancer cell,Cancer stem cell
Stem cell,Cancer,ALDH1A1,Human,Undefined,Undefined,Gastric Cancer,Cancer cell,Cancer stem cell
Stem cell,Cancer,THY1,Human,Undefined,Undefined,Gastric Cancer,Cancer cell,Cancer stem cell
