broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,CD8+,CD8,Human,Undefined,Undefined,Normal,Normal cell,Cytotoxic CD8+ T cell
T cell,CD8+,CD8A,Human,Undefined,Undefined,Normal,Normal cell,Cytotoxic CD8+ T cell
T cell,Cytotoxic,Granzyme B,Human,Undefined,Undefined,Normal,Normal cell,Cytotoxic CD8+ T cell
T cell,Cytotoxic,Perforin,Human,Undefined,Undefined,Normal,Normal cell,Cytotoxic CD8+ T cell
T cell,Cytotoxic,GZMA,Human,Undefined,Undefined,Normal,Normal cell,Cytotoxic CD8+ T cell
T cell,Cytotoxic,TNF-alpha,Human,Undefined,Undefined,Normal,Normal cell,Cytotoxic CD8+ T cell
T cell,Cytotoxic,TNF,Human,Undefined,Undefined,Normal,Normal cell,Cytotoxic CD8+ T cell
T cell,Cytotoxic,IFN-gamma,Human,Undefined,Undefined,Normal,Normal cell,Cytotoxic CD8+ T cell
T cell,Cytotoxic,TNFSF10,Human,Undefined,Undefined,Normal,Normal cell,Cytotoxic CD8+ T cell
T cell,Cytotoxic,CD178,Human,Undefined,Undefined,Normal,Normal cell,Cytotoxic CD8+ T cell
T cell,Cytotoxic,CD253,Human,Undefined,Undefined,Normal,Normal cell,Cytotoxic CD8+ T cell
T cell,Cytotoxic,CD107a,Human,Undefined,Undefined,Normal,Normal cell,Cytotoxic CD8+ T cell
