broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
neuron,Glutamatergic,NMDAR1,Human,Undefined,Undefined,Normal,Normal cell,Glutamatergic neuron
neuron,Glutamatergic,NMDAR2B,Human,Undefined,Undefined,Normal,Normal cell,Glutamatergic neuron
neuron,Glutamatergic,VGLUT1,Human,Undefined,Undefined,Normal,Normal cell,Glutamatergic neuron
neuron,Glutamatergic,VGLUT2,Human,Undefined,Undefined,Normal,Normal cell,Glutamatergic neuron
neuron,Glutamatergic,Glutaminase,Human,Undefined,Undefined,Normal,Normal cell,Glutamatergic neuron
neuron,Glutamatergic,Glutamine synthetase,Human,Undefined,Undefined,Normal,Normal cell,Glutamatergic neuron
neuron,Glutamatergic,GRIN1,Human,Undefined,Undefined,Normal,Normal cell,Glutamatergic neuron
neuron,Glutamatergic,GRIN2B,Human,Undefined,Undefined,Normal,Normal cell,Glutamatergic neuron
neuron,Glutamatergic,SLC17A7,Human,Undefined,Undefined,Normal,Normal cell,Glutamatergic neuron
neuron,Glutamatergic,SLC17A6,Human,Undefined,Undefined,Normal,Normal cell,Glutamatergic neuron
