broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Megakaryocyte,,CD9,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD42d,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD42a,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD123,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD49f,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD41,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD51,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD61,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD110,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD31,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD112,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD62P,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD42b,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD41b,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD42c,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,OCT4,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CD41a,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,SOX2,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,PF4,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,GP9,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,PPBP,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,CST3,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,GP5,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,IL3RA,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,ITGA6,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,ITGA2B,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,ITGAV,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,ITGB3,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,MPL,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,PECAM1,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,NECTIN2,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,SELP,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
Megakaryocyte,,POU5F1,Human,Undefined,Undefined,Normal,Normal cell,Megakaryocyte
