broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Natural killer cell,,RUNX1,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD4,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD7,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD27,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD34,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD38,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD68,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD69,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD81,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,FLT3,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,GATA3,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CXCR3,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,ID2,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,ZAP70,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,EOMES,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,TOX,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,KLRG1,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD226,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD160,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD244,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,TIGIT,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD178,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,BAT,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD8,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD194,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD196,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD32,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD16,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,KIR,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD183,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,IL-2,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD122,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD127,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD212,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,IL-15,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,IL-18,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD103,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD117,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD161,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,NKG2A,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD94,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD107a,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD229,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD10,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD56,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,E4BP4,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD45,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD62L,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD43,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,ST2,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD218a,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD336,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD335,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD314,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD217,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD328,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD57,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,T-bet,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,NKp80,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,2B4,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD319,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,Ly108,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD337,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD11b,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD11c,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD159a,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD45RA,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD49d,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,Granzyme A,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,Granzyme B,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,IL-21R,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,ROR gamma T,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,C receptor,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CC receptor,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CXC chemokine receptor,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,DPIV,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,FcgRII,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,H25,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,IL-12,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,Natural cytotoxicity receptors,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,NKH1,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,NKp46,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD158,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD49b,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,Valpha24-Jalpha18,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,TCR,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD3,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,Dipeptidyl peptidase 4,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD3D,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,PTPRC,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,PRE,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,GZMB,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,IFNG,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,NKG7,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,CD2,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
Natural killer cell,,PRF1,Human,Undefined,Undefined,Normal,Normal cell,Natural killer cell
