broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Neural stem cell,,ASCL1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,BMI1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,RUNX1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,FABP7,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,FGFR2,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,FGFR4,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,GATA2,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,NR6A1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,GFAP,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,HOXB1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,ID2,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,MSX1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,NOTCH1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,NOTCH2,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,ROR2,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,OTX2,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,PAX3,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,PAX6,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,SOX1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,SOX2,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,SOX9,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,SOX11,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,NR2F1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,ZIC1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,CXCR4,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,ABCG2,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,SOX21,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,FOXD3,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,LRTM1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,CDCP1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,SLAIN1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,CD15,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,SSEA-1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,NRF2,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,FABP8,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,NR2B1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,GLUT1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,BRG1,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,CD133,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,Nestin,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,Beta-catenin,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,Calcitonin R,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
Neural stem cell,,COUP-TF,Human,Undefined,Undefined,Normal,Normal cell,Neural stem cell
