broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Neuron,,BCL2,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD6,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD47,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CX3CR1,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,MAP2,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD200,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,PAX5,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CX3CL1,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD24,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD166,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD325,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD143,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,PSD95,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD15,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,IL-11,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD171,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD56,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD271,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD230,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD112,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD90,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD231,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD106,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD304,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD133,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD172b,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CD100,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,CXCR7,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,PKC,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,160 kDa neurofilament medium,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,200kDa neurofilament heavy,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,NeuN,Human,Undefined,Undefined,Normal,Normal cell,Neuron
Neuron,,Synaptophysin,Human,Undefined,Undefined,Normal,Normal cell,Neuron
