broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Pericyte,,SMA,Human,Undefined,Undefined,Infantile Hemangiomas,Cancer cell,Pericyte
Pericyte,,Calponin,Human,Undefined,Undefined,Infantile Hemangiomas,Cancer cell,Pericyte
Pericyte,,PDGF-A,Human,Undefined,Undefined,Infantile Hemangiomas,Cancer cell,Pericyte
Pericyte,,CD90,Human,Undefined,Undefined,Infantile Hemangiomas,Cancer cell,Pericyte
Pericyte,,DLK,Human,Undefined,Undefined,Infantile Hemangiomas,Cancer cell,Pericyte
Pericyte,,NG2,Human,Undefined,Undefined,Infantile Hemangiomas,Cancer cell,Pericyte
Pericyte,,SMN1,Human,Undefined,Undefined,Infantile Hemangiomas,Cancer cell,Pericyte
Pericyte,,PDGFA,Human,Undefined,Undefined,Infantile Hemangiomas,Cancer cell,Pericyte
Pericyte,,THY1,Human,Undefined,Undefined,Infantile Hemangiomas,Cancer cell,Pericyte
Pericyte,,DAPK3,Human,Undefined,Undefined,Infantile Hemangiomas,Cancer cell,Pericyte
Pericyte,,CSPG4,Human,Undefined,Undefined,Infantile Hemangiomas,Cancer cell,Pericyte
