broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Pluripotent stem cell,,SOX2,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,KLF4,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,NANOG,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,CD49f,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,OCT4,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,LIN28,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,GPC3,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,CD326,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,CD112,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,EFNA2,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,CD31,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,PRSS50,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,CDH11,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,TRA-1-81,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,SSEA-4,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,GCTM-2,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,CD9,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,POU5F1,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,ITGA6,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,LIN28A,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,NECTIN2,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
Pluripotent stem cell,,PECAM1,Human,Undefined,Undefined,Normal,Normal cell,Pluripotent stem cell
