broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T helper cell,,CD4,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD5,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD7,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD34,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD38,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CCR10,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD200,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD178,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD185,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD39,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD193,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD194,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD195,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD196,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD183,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD25,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD126,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD127,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,IL-9,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD212,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD103,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD161,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD10,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD73,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD279,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD62L,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD62,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD218a,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD294,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD140a,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD140b,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD165,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD198,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD1a,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD3,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD45RA,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CD45RO,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,Flt3,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,IL-13alpha1,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,IL-21R,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,TCR alpha/beta,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,FASLG,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CXCR5,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,ENTPD1,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CCR3,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CCR4,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CCR5,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CCR6,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,CXCR3,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,IL2RA,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,IL6R,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,IL7R,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,IL9,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,IL12RB1,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,ITGAE,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,KLRB1,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,MME,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,NT5E,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,PDCD1,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,SELL,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,SELP,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,IL18R1,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
T helper cell,,PTGDR2,Human,Undefined,Undefined,Normal,Normal cell,T helper cell
