broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
B cell,,CD37,Human,Undefined,Undefined,Normal,Normal cell,B cell
B cell,,CCR7,Human,Undefined,Undefined,Normal,Normal cell,B cell
B cell,,CD62L,Human,Undefined,Undefined,Normal,Normal cell,B cell
B cell,,CD40,Human,Undefined,Undefined,Normal,Normal cell,B cell
B cell,,JCHAIN,Human,Undefined,Undefined,Normal,Normal cell,B cell
B cell,,CD3E,Human,Undefined,Undefined,Normal,Normal cell,B cell
B cell,,MS4A1,Human,Undefined,Undefined,Normal,Normal cell,B cell
B cell,,CD79A,Human,Undefined,Undefined,Normal,Normal cell,B cell
B cell,,CD20,Human,Undefined,Undefined,Normal,Normal cell,B cell
B cell,,CD19,Human,Undefined,Undefined,Normal,Normal cell,B cell
B cell,,TNFRSF13C,Human,Undefined,Undefined,Normal,Normal cell,B cell
B cell,,SELL,Human,Undefined,Undefined,Normal,Normal cell,B cell
