broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,Memory,IL7R,Human,Undefined,Undefined,Melanoma,Cancer cell,Memory CD8+ T cell
T cell,Memory,GPR183,Human,Undefined,Undefined,Melanoma,Cancer cell,Memory CD8+ T cell
T cell,Memory,TCF7,Human,Undefined,Undefined,Melanoma,Cancer cell,Memory CD8+ T cell
T cell,Memory,CCR7,Human,Undefined,Undefined,Melanoma,Cancer cell,Memory CD8+ T cell
T cell,Memory,LEF1,Human,Undefined,Undefined,Melanoma,Cancer cell,Memory CD8+ T cell
T cell,Memory,SELL,Human,Undefined,Undefined,Melanoma,Cancer cell,Memory CD8+ T cell
T cell,CD8+,IL7R,Human,Undefined,Undefined,Melanoma,Cancer cell,Memory CD8+ T cell
T cell,CD8+,GPR183,Human,Undefined,Undefined,Melanoma,Cancer cell,Memory CD8+ T cell
T cell,CD8+,TCF7,Human,Undefined,Undefined,Melanoma,Cancer cell,Memory CD8+ T cell
T cell,CD8+,CCR7,Human,Undefined,Undefined,Melanoma,Cancer cell,Memory CD8+ T cell
T cell,CD8+,LEF1,Human,Undefined,Undefined,Melanoma,Cancer cell,Memory CD8+ T cell
T cell,CD8+,SELL,Human,Undefined,Undefined,Melanoma,Cancer cell,Memory CD8+ T cell
