species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,NELL2,NELL2
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,LAT,LAT
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,TRAC,TRAC
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,RCAN3,RCAN3
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,CD2,CD2
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,CD27,CD27
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,CD28,CD28
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,LINC02446,LINC02446
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,CD3G,CD3G
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,CD8B,CD8B
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,TRAT1,TRAT1
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,BCL11B,BCL11B
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,TRABD2A,TRABD2A
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,CD3D,CD3D
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,T cell,CL_0000084,CAMK4,CAMK4
